time,ret,volume
2010-07-30,-0.163239583,657886
2010-08-31,-0.023069257,153193
2010-09-30,0.047484659,183742
2010-10-29,0.070325874,67145
2010-11-30,0.617674053,288315
2010-12-31,-0.246249706,375034
2011-01-31,-0.095005587,288394
2011-02-28,-0.008713734,297362
2011-03-31,0.161573917,330507
2011-04-29,-0.005405392,304181
2011-05-31,0.092028946,309169
2011-06-30,-0.033510294,403597
2011-07-29,-0.032955684,214190
2011-08-31,-0.121760748,276898
2011-09-30,-0.014147146,183865
2011-10-31,0.204182103,220924
2011-11-30,0.114742957,263571
2011-12-30,-0.127672628,215510
2012-01-31,0.017857151,261418
2012-02-29,0.149294809,236238
2012-03-30,0.114636391,226538
2012-04-30,-0.110365212,232773
2012-05-31,-0.109568395,348464
2012-06-29,0.060677998,265393
2012-07-31,-0.123681709,328992
2012-08-31,0.040116716,247781
2012-09-28,0.026647974,335868
2012-10-31,-0.039228193,178360
2012-11-30,0.202215344,224326
2012-12-31,0.001478393,217520
2013-01-31,0.107469723,284657
2013-02-28,-0.071447521,444114
2013-03-28,0.08785522,301808
2013-04-30,0.4249143,827756
2013-05-31,0.810705662,3355943
2013-06-28,0.098199658,1819354
2013-07-31,0.250745147,2336295
2013-08-30,0.258564204,2644640
2013-09-30,0.144201159,1754400
2013-10-31,-0.172880977,2651454
2013-11-29,-0.204201594,3152008
2013-12-31,0.181874618,1984570
2014-01-31,0.20595099,1836446
2014-02-28,0.349484563,2269557
2014-03-31,-0.148523346,1668698
2014-04-30,-0.002686484,1652950
2014-05-30,-0.000577205,1353228
2014-06-30,0.155412197,1235014
2014-07-31,-0.069815859,1080588
2014-08-29,0.207792252,1149281
2014-09-30,-0.100185461,1329469
2014-10-31,-0.004038222,1521398
2014-11-28,0.011667387,1077170
2014-12-31,-0.090422049,1271222
2015-01-30,-0.084573522,903618
2015-02-27,-0.001277062,1067279
2015-03-31,-0.071653351,1229766
2015-04-30,0.197488993,989382
2015-05-29,0.109489046,891151
2015-06-30,0.069617249,654816
2015-07-31,-0.007865562,800688
2015-08-31,-0.064211898,1152837
2015-09-30,-0.002649979,803404
2015-10-30,-0.166948482,1008628
2015-11-30,0.112743452,786080
2015-12-31,0.042343438,598469
2016-01-29,-0.203366518,794122
2016-02-29,0.003817969,1337311
2016-03-31,0.197155282,1029597
2016-04-29,0.047830395,1355210
2016-05-31,-0.072811097,1033095
2016-06-30,-0.049052533,1217461
2016-07-29,0.106039166,742092
2016-08-31,-0.097022869,622504
2016-09-30,-0.037639715,707217
2016-10-31,-0.030877827,922365
2016-11-30,-0.042128164,988496
2016-12-30,0.128247142,879924
2017-01-31,0.178950772,1008133
2017-02-28,-0.007700501,1195495
2017-03-31,0.113244459,1070387
2017-04-28,0.128530443,1170001
2017-05-31,0.085777059,1481990
2017-06-30,0.060408711,1859796
2017-07-31,-0.105472706,1816705
2017-08-31,0.10025657,1369905
2017-09-29,-0.041584682,1115125
2017-10-31,-0.028056309,1230312
2017-11-30,-0.068410076,1488451
2017-12-29,0.008094545,1099476
2018-01-31,0.137979731,1243079
2018-02-28,-0.031751856,1091960
2018-03-29,-0.224246472,1572578
2018-04-30,0.104347453,1906004
2018-05-31,-0.031201031,1555774
2018-06-29,0.204474404,2136042
2018-07-31,-0.13066043,1723953
2018-08-31,0.011806496,2773316
2018-09-28,-0.122290045,1960767
2018-10-31,0.274011493,2864231
2018-11-30,0.039013408,1331285
2018-12-31,-0.050445169,1464466
2019-01-31,-0.07746394,1757076
2019-02-28,0.041886576,1285744
2019-03-29,-0.125109479,2137844
2019-04-30,-0.14710921,2307535
2019-05-31,-0.224265784,2826537
2019-06-28,0.206848145,2149819
2019-07-31,0.081222564,1994069
2019-08-30,-0.066222422,1340932
2019-09-30,0.067638822,1365915
2019-10-31,0.307427317,2351125
2019-11-29,0.047694616,1578851
2019-12-31,0.267897129,2070288
2020-01-31,0.555159867,4072082
2020-02-28,0.026776493,4720676
2020-03-31,-0.215557113,4200834
2020-04-30,0.492137402,3806580
2020-05-29,0.067938805,2723026
2020-06-30,0.293185711,2551787
2020-07-31,0.325010806,3776740
2020-08-31,0.741452098,4051970
2020-09-30,-0.139087319,17331954
2020-10-30,-0.095498942,8330610
2020-11-30,0.462735713,7811501
2020-12-31,0.243252307,11962716