Date,Ret
31/01/1980,0.063303
29/02/1980,-0.00574
31/03/1980,-0.123258
30/04/1980,0.049833
30/05/1980,0.052629
30/06/1980,0.034438
31/07/1980,0.067066
29/08/1980,0.017236
30/09/1980,0.026617
31/10/1980,0.01737
28/11/1980,0.09901
31/12/1980,-0.037041
30/01/1981,-0.041823
27/02/1981,0.009121
31/03/1981,0.043095
30/04/1981,-0.013035
29/05/1981,0.007402
30/06/1981,-0.013356
31/07/1981,-0.004806
31/08/1981,-0.063014
30/09/1981,-0.066716
30/10/1981,0.057005
30/11/1981,0.039226
31/12/1981,-0.031104
29/01/1982,-0.027912
26/02/1982,-0.05864
31/03/1982,-0.014055
30/04/1982,0.041424
28/05/1982,-0.036597
30/06/1982,-0.02738
30/07/1982,-0.022743
31/08/1982,0.109934
30/09/1982,0.013675
29/10/1982,0.115926
30/11/1982,0.044997
31/12/1982,0.012023
31/01/1983,0.039755
28/02/1983,0.024204
31/03/1983,0.03162
29/04/1983,0.072839
31/05/1983,0.007961
30/06/1983,0.034865
29/07/1983,-0.032865
31/08/1983,-0.001801
30/09/1983,0.013102
31/10/1983,-0.029739
30/11/1983,0.024206
30/12/1983,-0.013442
31/01/1984,-0.014875
29/02/1984,-0.043938
30/03/1984,0.010025
30/04/1984,0.0008
31/05/1984,-0.057705
29/06/1984,0.019501
31/07/1984,-0.022544
31/08/1984,0.106814
28/09/1984,-0.002539
31/10/1984,-0.002921
30/11/1984,-0.015257
31/12/1984,0.020092
31/01/1985,0.083508
28/02/1985,0.012269
29/03/1985,-0.004924
30/04/1985,-0.003958
31/05/1985,0.050799
28/06/1985,0.014038
31/07/1985,-0.00222
30/08/1985,-0.009592
30/09/1985,-0.042577
31/10/1985,0.042023
29/11/1985,0.064699
31/12/1985,0.04008
31/01/1986,0.008007
28/02/1986,0.068191
31/03/1986,0.051362
30/04/1986,-0.009634
30/05/1986,0.047126
30/06/1986,0.011622
31/07/1986,-0.061454
29/08/1986,0.06243
30/09/1986,-0.081272
31/10/1986,0.04686
28/11/1986,0.010874
31/12/1986,-0.029056
30/01/1987,0.126927
27/02/1987,0.044495
31/03/1987,0.021218
30/04/1987,-0.018893
29/05/1987,0.001872
30/06/1987,0.041143
31/07/1987,0.042348
31/08/1987,0.03386
30/09/1987,-0.022845
30/10/1987,-0.227342
30/11/1987,-0.076512
31/12/1987,0.067212
29/01/1988,0.043042
29/02/1988,0.045995
31/03/1988,-0.019273
29/04/1988,0.00919
31/05/1988,-0.003859
30/06/1988,0.048743
29/07/1988,-0.009941
31/08/1988,-0.032443
30/09/1988,0.034604
31/10/1988,0.014482
30/11/1988,-0.02113
30/12/1988,0.017627
31/01/1989,0.063305
28/02/1989,-0.020172
31/03/1989,0.018641
28/04/1989,0.046272
31/05/1989,0.034581
30/06/1989,-0.007428
31/07/1989,0.074881
31/08/1989,0.018228
29/09/1989,-0.003969
31/10/1989,-0.031337
30/11/1989,0.014333
29/12/1989,0.015515
31/01/1990,-0.071947
28/02/1990,0.010957
30/03/1990,0.021626
30/04/1990,-0.030562
31/05/1990,0.084648
29/06/1990,-0.006736
31/07/1990,-0.011593
31/08/1990,-0.095716
28/09/1990,-0.05611
31/10/1990,-0.015049
30/11/1990,0.061414
31/12/1990,0.026274
31/01/1991,0.046987
28/02/1991,0.071836
28/03/1991,0.026702
30/04/1991,0.001186
31/05/1991,0.037177
28/06/1991,-0.046271
31/07/1991,0.044984
30/08/1991,0.023275
30/09/1991,-0.013078
31/10/1991,0.016248
29/11/1991,-0.040572
31/12/1991,0.104147
31/01/1992,-0.002591
28/02/1992,0.010308
31/03/1992,-0.02597
30/04/1992,0.011872
29/05/1992,0.003302
30/06/1992,-0.021665
31/07/1992,0.038369
31/08/1992,-0.02397
30/09/1992,0.010286
30/10/1992,0.009546
30/11/1992,0.036954
31/12/1992,0.015533
29/01/1993,0.0113
26/02/1993,0.002664
31/03/1993,0.022659
30/04/1993,-0.026714
28/05/1993,0.026539
30/06/1993,0.003218
30/07/1993,-0.002154
31/08/1993,0.036565
30/09/1993,-0.001353
29/10/1993,0.01673
30/11/1993,-0.020476
31/12/1993,0.017529
31/01/1994,0.03007
28/02/1994,-0.02676
31/03/1994,-0.047882
29/04/1994,0.008044
31/05/1994,0.006361
30/06/1994,-0.030055
29/07/1994,0.029283
31/08/1994,0.039724
30/09/1994,-0.020352
31/10/1994,0.013
30/11/1994,-0.03998
30/12/1994,0.010141
31/01/1995,0.018753
28/02/1995,0.037074
31/03/1995,0.024887
28/04/1995,0.023597
31/05/1995,0.031129
30/06/1995,0.029212
31/07/1995,0.038953
31/08/1995,0.006798
29/09/1995,0.034641
31/10/1995,-0.01267
30/11/1995,0.040301
29/12/1995,0.013354
31/01/1996,0.026805
29/02/1996,0.014231
29/03/1996,0.009211
30/04/1996,0.024316
31/05/1996,0.024551
28/06/1996,-0.00982
31/07/1996,-0.055286
30/08/1996,0.030375
30/09/1996,0.051279
31/10/1996,0.0123
29/11/1996,0.063621
31/12/1996,-0.01307
31/01/1997,0.052358
28/02/1997,-0.002802
31/03/1997,-0.046515
30/04/1997,0.041181
30/05/1997,0.069787
30/06/1997,0.04269
31/07/1997,0.075201
29/08/1997,-0.037678
30/09/1997,0.057049
31/10/1997,-0.035502
28/11/1997,0.028841
31/12/1997,0.016307
30/01/1998,0.003633
27/02/1998,0.071816
31/03/1998,0.050016
30/04/1998,0.009923
29/05/1998,-0.027038
30/06/1998,0.03062
31/07/1998,-0.024353
31/08/1998,-0.159168
30/09/1998,0.062295
30/10/1998,0.073388
30/11/1998,0.060593
31/12/1998,0.06173
29/01/1999,0.037646
26/02/1999,-0.039268
31/03/1999,0.036652
30/04/1999,0.048271
28/05/1999,-0.022384
30/06/1999,0.049725
30/07/1999,-0.03171
31/08/1999,-0.011065
30/09/1999,-0.023872
29/10/1999,0.061318
30/11/1999,0.035616
31/12/1999,0.082631
31/01/2000,-0.040263
29/02/2000,0.030657
31/03/2000,0.052515
28/04/2000,-0.06031
31/05/2000,-0.04002
30/06/2000,0.050779
31/07/2000,-0.018399
31/08/2000,0.073803
29/09/2000,-0.051895
31/10/2000,-0.025155
30/11/2000,-0.103574
29/12/2000,0.019455
31/01/2001,0.038787
28/02/2001,-0.100183
30/03/2001,-0.071364
30/04/2001,0.08283
31/05/2001,0.009064
29/06/2001,-0.018336
31/07/2001,-0.01925
31/08/2001,-0.060355
28/09/2001,-0.09263
31/10/2001,0.026829
30/11/2001,0.077353
31/12/2001,0.016573
31/01/2002,-0.016921
28/02/2002,-0.023066
28/03/2002,0.04373
30/04/2002,-0.050504
31/05/2002,-0.011958
28/06/2002,-0.071515
31/07/2002,-0.08231
30/08/2002,0.006405
30/09/2002,-0.101387
31/10/2002,0.073522
29/11/2002,0.059612
31/12/2002,-0.054977
31/01/2003,-0.024576
28/02/2003,-0.017243
31/03/2003,0.008901
30/04/2003,0.08118
30/05/2003,0.061778
30/06/2003,0.014797
31/07/2003,0.021764
29/08/2003,0.023486
30/09/2003,-0.010607
31/10/2003,0.058882
28/11/2003,0.015052
31/12/2003,0.04382
30/01/2004,0.022019
27/02/2004,0.013958
31/03/2004,-0.011985
30/04/2004,-0.025568
28/05/2004,0.012384
30/06/2004,0.020049
30/07/2004,-0.038792
31/08/2004,0.001058
30/09/2004,0.019099
29/10/2004,0.016579
30/11/2004,0.04432
31/12/2004,0.033414
31/01/2005,-0.027399
28/02/2005,0.02081
31/03/2005,-0.018578
29/04/2005,-0.02659
31/05/2005,0.036151
30/06/2005,0.009905
29/07/2005,0.042251
31/08/2005,-0.007776
30/09/2005,0.009331
31/10/2005,-0.021974
30/11/2005,0.038073
30/12/2005,0.001884
31/01/2006,0.038966
28/02/2006,-0.003552
31/03/2006,0.017598
28/04/2006,0.01153
31/05/2006,-0.03301
30/06/2006,-0.001887
31/07/2006,-0.002955
31/08/2006,0.022968
29/09/2006,0.01811
31/10/2006,0.036107
30/11/2006,0.021374
29/12/2006,0.009154
31/01/2007,0.018452
28/02/2007,-0.015996
30/03/2007,0.011479
30/04/2007,0.03847
31/05/2007,0.036666
29/06/2007,-0.01611
31/07/2007,-0.032792
31/08/2007,0.009641
28/09/2007,0.039306
31/10/2007,0.02477
30/11/2007,-0.051309
31/12/2007,-0.006493
31/01/2008,-0.063321
29/02/2008,-0.023636
31/03/2008,-0.012186
30/04/2008,0.049876
30/05/2008,0.021621
30/06/2008,-0.080249
31/07/2008,-0.014759
29/08/2008,0.008608
30/09/2008,-0.099959
31/10/2008,-0.186319
28/11/2008,-0.08742
31/12/2008,0.019166
30/01/2009,-0.078863
27/02/2009,-0.103353
31/03/2009,0.083548
30/04/2009,0.107632
29/05/2009,0.065137
30/06/2009,-0.004962
31/07/2009,0.08036
31/08/2009,0.029351
30/09/2009,0.043643
30/10/2009,-0.029326
30/11/2009,0.054619
31/12/2009,0.026449
29/01/2010,-0.038184
26/02/2010,0.032657
31/03/2010,0.061985
30/04/2010,0.018924
28/05/2010,-0.081328
30/06/2010,-0.05252
30/07/2010,0.068664
31/08/2010,-0.044989
30/09/2010,0.089747
29/10/2010,0.037071
30/11/2010,0.002917
31/12/2010,0.06485
31/01/2011,0.018231
28/02/2011,0.036223
31/03/2011,0.001758
29/04/2011,0.027483
31/05/2011,-0.016956
30/06/2011,-0.020211
29/07/2011,-0.023674
31/08/2011,-0.059704
30/09/2011,-0.086672
31/10/2011,0.112735
30/11/2011,-0.008937
30/12/2011,0.001428
31/01/2012,0.05296
29/02/2012,0.038953
30/03/2012,0.022138
30/04/2012,-0.008046
31/05/2012,-0.068005
29/06/2012,0.036049
31/07/2012,0.009055
31/08/2012,0.023718
28/09/2012,0.024564
31/10/2012,-0.015502
30/11/2012,0.002977
31/12/2012,0.009019
31/01/2013,0.052937
28/02/2013,0.006079
28/03/2013,0.033526
30/04/2013,0.013764
31/05/2013,0.016568
28/06/2013,-0.017089
31/07/2013,0.051223
30/08/2013,-0.027927
30/09/2013,0.035699
31/10/2013,0.038603
29/11/2013,0.022831
31/12/2013,0.024082
31/01/2014,-0.031124
28/02/2014,0.043963
31/03/2014,0.002819
30/04/2014,0.00041
30/05/2014,0.018045
30/06/2014,0.025986
31/07/2014,-0.021849
29/08/2014,0.038202
30/09/2014,-0.026893
31/10/2014,0.019916
28/11/2014,0.018938
31/12/2014,-0.0058
30/01/2015,-0.028233
27/02/2015,0.053599
31/03/2015,-0.012211
30/04/2015,0.007618
29/05/2015,0.008115
30/06/2015,-0.021171
31/07/2015,0.010895
31/08/2015,-0.061993
30/09/2015,-0.035693
30/10/2015,0.072542
30/11/2015,0.000136
31/12/2015,-0.024447
29/01/2016,-0.058253
29/02/2016,-0.001802
31/03/2016,0.068122
29/04/2016,0.010483
31/05/2016,0.011925
30/06/2016,0.000875
29/07/2016,0.037567
31/08/2016,0.000463
30/09/2016,0.001235
31/10/2016,-0.022789
30/11/2016,0.03804
30/12/2016,0.016625
31/01/2017,0.02113
28/02/2017,0.030496
31/03/2017,0.000191
28/04/2017,0.008535
31/05/2017,0.006983
30/06/2017,0.00769
31/07/2017,0.018893
31/08/2017,-0.000638
29/09/2017,0.022122
31/10/2017,0.01819
30/11/2017,0.024905
29/12/2017,0.010264
31/01/2018,0.049625
28/02/2018,-0.041323
29/03/2018,-0.020288
30/04/2018,0.00357
31/05/2018,0.023849
29/06/2018,0.003576
31/07/2018,0.030436
31/08/2018,0.027765
28/09/2018,-0.001212
31/10/2018,-0.075113
30/11/2018,0.016171
31/12/2018,-0.092124
31/01/2019,0.087067
28/02/2019,0.030666
29/03/2019,0.01114
30/04/2019,0.0367
31/05/2019,-0.063898
28/06/2019,0.065283
31/07/2019,0.010702
30/08/2019,-0.022372
30/09/2019,0.014169
31/10/2019,0.018086
29/11/2019,0.032986
31/12/2019,0.026242
31/01/2020,-0.002849
28/02/2020,-0.079868
31/03/2020,-0.143685
30/04/2020,0.128408
29/05/2020,0.051688
30/06/2020,0.023522
31/07/2020,0.054411
31/08/2020,0.066798
30/09/2020,-0.036515
30/10/2020,-0.021218
30/11/2020,0.122019
31/12/2020,0.043244
29/01/2021,-0.001611
26/02/2021,0.027888
31/03/2021,0.029086
30/04/2021,0.047301
28/05/2021,0.005786
30/06/2021,0.022021
30/07/2021,0.010952
31/08/2021,0.025841
30/09/2021,-0.043531
29/10/2021,0.06376
30/11/2021,-0.019707
31/12/2021,0.031573
31/01/2022,-0.060568
28/02/2022,-0.023121
31/03/2022,0.02894
29/04/2022,-0.090295
31/05/2022,-0.00374
30/06/2022,-0.085822
29/07/2022,0.089287
31/08/2022,-0.037918
30/09/2022,-0.09303
31/10/2022,0.076265
30/11/2022,0.050479
30/12/2022,-0.059152
31/01/2023,0.070884
28/02/2023,-0.026252
31/03/2023,0.022043
28/04/2023,0.007865
31/05/2023,-0.001057
30/06/2023,0.064342
31/07/2023,0.034672
31/08/2023,-0.022266
29/09/2023,-0.04886
31/10/2023,-0.029857
30/11/2023,0.090037
29/12/2023,0.051476
31/01/2024,0.006743
29/02/2024,0.049052
28/03/2024,0.030938
30/04/2024,-0.043636
31/05/2024,0.044979
28/06/2024,0.02438
31/07/2024,0.019
30/08/2024,0.020203
30/09/2024,0.019485
31/10/2024,-0.009139
29/11/2024,0.063463
31/12/2024,-0.033469
